,build
514,1340
515,1963
516,3564
517,3726
518,2444
519,3866
520,3473
521,3207
522,382
523,1192
524,2294
525,2131
526,2822
527,1172
528,3438
529,3034
530,3099
531,1882
532,488
533,1419
534,1494
535,1091
536,3824
537,1136
538,1542
539,2966
540,3346
541,3384
542,352
543,759
544,1030
545,3332
546,1453
547,2880
548,3762
549,3681
550,3847
551,3797
552,3538
553,2083
554,2059
555,3967
556,2781
557,1288
558,1296
559,386
560,643
561,318
562,109
563,2583
564,2826
565,1182
566,871
567,1867
568,2063
569,507
570,1019
571,2799
572,588
573,868
574,1668
575,506
576,3948
577,1372
578,118
579,2412
580,2759
581,808
582,2995
583,3375
584,2893
585,1703
586,3272
587,1603
588,3746
589,606
590,1035
591,1057
592,831
593,1216
594,2755
595,425
596,2317
597,953
598,957
599,3190
600,3666
601,941
602,3573
603,745
604,910
605,2894
606,3655
607,1220
608,3740
609,1126
610,2595
611,159
612,1613
613,1210
614,3723
615,3065
616,1222
617,2565
618,2473
619,2387
620,7
621,1726
622,859
623,2351
624,2354
625,2068
626,3414
627,2736
628,358
629,907
630,3949
631,1153
632,2077
633,1667
634,1677
635,470
636,3923
637,2571
638,304
639,64
640,3140
641,3028
642,1483
643,1094
644,2389
645,1903
646,854
647,917
648,3395
649,1525
650,1928
651,3422
652,1947
653,1795
654,1386
655,2252
656,3760
657,3667
658,3992
659,183
660,1332
661,1547
662,2681
663,1548
664,3287
665,1330
666,3754
667,153
668,971
669,2381
670,1080
671,3450
672,783
673,2975
674,3485
675,1779
676,1415
677,2954
678,2841
679,895
680,3829
681,682
682,2475
683,195
684,1539
685,820
686,524
687,2099
688,2685
689,1201
690,1437
691,3358
692,2697
693,1082
694,2038
695,3309
696,2155
697,276
698,2958
699,672
700,3418
701,876
702,3371
703,850
704,1311
705,1338
706,853
707,2394
708,113
709,1607
710,2490
711,1873
712,377
713,4004
714,1732
715,2642
716,3650
717,1466
718,803
719,3685
720,92
721,3931
722,426
723,447
724,567
725,3135
726,1240
727,1194
728,2246
729,1410
730,815
731,1898
732,3913
733,3306
734,265
735,240
736,933
737,862
738,2423
739,948
740,940
741,406
742,3881
743,3389
744,2598
745,3403
746,2493
747,874
748,1273
749,2093
750,217
751,2587
752,2785
753,167
754,2249
755,1223
756,1422
757,2999
758,1968
759,2539
760,198
761,1805
762,3413
763,994
764,3532
765,2007
766,495
767,193
768,3153
769,434
770,2242
771,2076
772,1484
773,3273
774,1997
775,424
776,3349
777,748
778,535
779,1036
780,1133
781,1345
782,3052
783,2581
784,2572
785,4000
786,2615
787,843
788,3257
789,474
790,2040
791,979
792,3795
793,2597
794,2650
795,205
796,1756
797,3062
798,1104
799,2816
800,1462
801,1818
802,2478
803,3698
804,90
805,2828
806,3328
807,2352
808,3790
809,58
810,1749
811,3124
812,3012
813,3741
814,473
815,2237
816,1840
817,3102
818,2630
819,3050
820,2288
821,2979
822,1499
823,2937
824,2780
825,1825
826,931
827,1289
828,969
829,1731
830,2421
831,1111
832,1206
833,552
834,3373
835,2710
836,204
837,3880
838,3421
839,3611
840,99
841,652
842,878
843,3338
844,26
845,2022
846,3515
847,890
848,1819
849,739
850,3027
851,3718
852,2766
853,2061
854,1894
855,1168
856,572
857,2183
858,1468
859,2125
860,1612
861,3035
862,1517
863,3954
864,60
865,3047
866,30
867,1455
868,1281
869,245
870,451
871,2643
872,2464
873,2761
874,1862
875,2403
876,2
877,3753
878,3707
879,399
880,1652
881,1230
882,1624
883,3074
884,1502
885,547
886,1766
887,1042
888,2530
889,2295
890,3266
891,1027
892,3543
893,1443
894,1700
895,3118
896,3657
897,2658
898,2476
899,709
900,2192
901,605
902,2614
903,2518
904,365
905,2091
906,2777
907,3971
908,2977
909,3467
910,3737
911,357
912,1344
913,1409
914,505
915,914
916,2079
917,3045
918,2448
919,3628
920,2373
921,569
922,2876
923,3227
924,1398
925,2632
926,2707
927,1692
928,2951
929,2000
930,55
931,3359
932,1574
933,1387
934,1620
935,1976
936,1956
937,3585
938,3771
939,2797
940,1459
941,2186
942,715
943,296
944,856
945,724
946,3271
947,2653
948,1024
949,1874
950,965
951,2250
952,3291
953,465
954,370
955,998
956,2279
957,771
958,3756
959,1196
960,2907
961,637
962,3629
963,4013
964,3647
965,146
966,2350
967,375
968,1119
969,2863
970,3570
971,2737
972,1061
973,3559
974,228
975,3804
976,366
977,3531
978,2575
979,3225
980,1576
981,993
982,1401
983,3236
984,1565
985,410
986,708
987,678
988,166
989,3239
990,1767
991,1460
992,3038
993,2158
994,1647
995,1901
996,3956
997,2753
998,3929
999,455
1000,2206
1001,178
1002,260
1003,498
1004,1154
1005,3281
1006,2622
1007,3704
1008,1021
1009,2234
1010,2775
1011,894
1012,1721
1013,1255
1014,3128
1015,189
1016,2532
1017,1446
1018,1810
1019,1160
1020,2449
1021,665
1022,3889
1023,3591
1024,2858
1025,2339
1026,3970
1027,1186
1028,1980
1029,3014
1030,1952
1031,1643
1032,2678
1033,3036
1034,651
1035,3381
1036,598
1037,2496
1038,3745
1039,1987
1040,1730
1041,1275
1042,3827
1043,956
1044,3587
1045,51
1046,3484
1047,2617
1048,2997
1049,2094
1050,2509
1051,2711
1052,3766
1053,3260
1054,484
1055,1644
1056,2397
1057,163
1058,2051
1059,1368
1060,2225
1061,3840
1062,3206
1063,3483
1064,2916
1065,3972
1066,3109
1067,1611
1068,3151
1069,2438
1070,1558
1071,3240
1072,1970
1073,1052
1074,2734
1075,3663
1076,2164
1077,632
1078,2314
1079,646
1080,2343
1081,1743
1082,3632
1083,937
1084,1283
1085,3264
1086,2623
1087,1557
1088,2276
1089,1946
1090,1189
1091,3763
1092,2579
1093,2267
1094,4006
1095,1919
1096,3296
1097,1897
1098,858
1099,3950
1100,1636
1101,1470
1102,3059
1103,3987
1104,3284
1105,237
1106,3619
1107,3360
1108,641
1109,2660
1110,3668
1111,2751
1112,3172
1113,3979
1114,3105
1115,2771
1116,1778
1117,299
1118,3612
1119,601
1120,1259
1121,1656
1122,165
1123,2226
1124,1669
1125,2009
1126,1939
1127,842
1128,1404
1129,1535
1130,1950
1131,3222
1132,1910
1133,740
1134,303
1135,3965
1136,3120
1137,1205
1138,3411
1139,3078
1140,125
1141,1183
1142,566
1143,418
1144,305
1145,3601
1146,1043
1147,2240
1148,175
1149,2435
1150,3683
1151,2593
1152,1616
1153,1719
1154,3626
1155,3556
1156,689
1157,3037
1158,3764
1159,2143
1160,407
1161,716
1162,1781
1163,74
1164,3968
1165,683
1166,1549
1167,1760
1168,2153
1169,639
1170,3321
1171,1248
1172,3841
1173,2788
1174,3869
1175,3335
1176,3945
1177,3738
1178,3122
1179,579
1180,2619
1181,2100
1182,3678
1183,2053
1184,415
1185,1403
1186,2723
1187,1742
1188,2050
1189,2883
1190,1508
1191,2221
1192,1789
1193,1238
1194,2527
1195,3139
1196,1642
1197,3406
1198,1351
1199,599
1200,530
1201,1739
1202,2726
1203,2494
1204,1994
1205,626
1206,3630
1207,1405
1208,2733
1209,317
1210,2463
1211,3867
1212,2278
1213,681
1214,70
1215,1461
1216,3828
1217,2928
1218,788
1219,864
1220,668
1221,2159
1222,3104
1223,3419
1224,537
1225,3547
1226,264
1227,1474
1228,1174
1229,3507
1230,3305
1231,964
1232,1680
1233,1675
1234,2144
1235,3984
1236,3722
1237,1610
1238,1159
1239,578
1240,1099
1241,3641
1242,2902
1243,3445
1244,556
1245,3107
1246,3378
1247,2454
1248,326
1249,3932
1250,3542
1251,764
1252,3029
1253,753
1254,1628
1255,1888
1256,2399
1257,1923
1258,244
1259,2154
1260,3286
1261,78
1262,466
1263,1551
1264,1074
1265,3275
1266,767
1267,3175
1268,3801
1269,3535
1270,3209
1271,2552
1272,67
1273,2584
1274,3380
1275,1900
1276,347
1277,2938
1278,1329
1279,809
1280,1949
1281,2017
1282,2969
1283,2570
1284,1587
1285,2696
1286,1604
1287,3246
1288,2090
1289,2462
1290,1853
1291,3387
1292,1710
1293,2015
1294,145
1295,502
1296,2268
1297,2236
1298,1218
1299,28
1300,3656
1301,2300
1302,1785
1303,3097
1304,1745
1305,3890
1306,2290
1307,3008
1308,1713
1309,625
1310,884
1311,536
1312,1877
1313,816
1314,3150
1315,3241
1316,2320
1317,744
1318,471
1319,3742
1320,719
1321,1788
1322,3003
1323,2491
1324,642
1325,322
1326,2341
1327,3238
1328,2413
1329,1335
1330,3091
1331,738
1332,3871
1333,3675
1334,587
1335,364
1336,1352
1337,3695
1338,3231
1339,444
1340,1826
1341,1860
1342,737
1343,596
1344,3106
1345,1550
1346,3114
1347,3126
1348,372
1349,3023
1350,623
1351,3472
1352,1537
1353,2291
1354,2116
1355,810
1356,331
1357,2827
1358,2698
1359,834
1360,922
1361,490
1362,1707
1363,1911
1364,236
1365,2537
1366,640
1367,3072
1368,3744
1369,2146
1370,1562
1371,3659
1372,1993
1373,3946
1374,2065
1375,1431
1376,2974
1377,3192
1378,2207
1379,976
1380,999
1381,3088
1382,3621
1383,1915
1384,2534
1385,2567
1386,462
1387,3807
1388,664
1389,3019
1390,3053
1391,413
1392,3813
1393,1388
1394,2988
1395,2548
1396,2878
1397,1360
1398,3735
1399,3727
1400,3815
1401,3396
1402,1605
1403,3159
1404,3161
1405,1262
1406,66
1407,3914
1408,3616
1409,1011
1410,182
1411,2992
1412,1083
1413,170
1414,3788
1415,775
1416,3437
1417,2139
1418,1714
1419,3024
1420,3156
1421,3596
1422,56
1423,298
1424,2807
1425,2272
1426,1861
1427,359
1428,2271
1429,2393
1430,3599
1431,409
1432,1433
1433,3320
1434,3142
1435,1895
1436,832
1437,3188
1438,2667
1439,2625
1440,1233
1441,2032
1442,1803
1443,104
1444,1979
1445,1089
1446,3773
1447,702
1448,1773
1449,2115
1450,126
1451,3509
1452,309
1453,1975
1454,2385
1455,2113
1456,3224
1457,270
1458,1497
1459,84
1460,402
1461,482
1462,2370
1463,2543
1464,247
1465,2470
1466,76
1467,77
1468,3692
1469,1916
1470,2909
1471,877
1472,1211
1473,1857
1474,156
1475,3706
1476,1646
1477,2782
1478,602
1479,3800
1480,3568
1481,21
1482,2910
1483,3092
1484,644
1485,2948
1486,3310
1487,19
1488,2503
1489,2148
1490,27
1491,882
1492,3985
1493,2611
1494,1856
1495,2758
1496,1930
1497,1500
1498,2560
1499,3452
1500,2520
1501,629
1502,1066
1503,3560
1504,2455
1505,3179
1506,101
1507,732
1508,3720
1509,2715
1510,1972
1511,1751
1512,350
1513,95
1514,592
1515,2875
1516,122
1517,362
1518,1885
1519,128
1520,927
1521,2533
1522,2566
1523,3516
1524,1213
1525,3554
1526,2396
1527,3687
1528,3882
1529,2851
1530,1023
1531,135
1532,1128
1533,1948
1534,1653
1535,2223
1536,802
1537,3505
1538,1728
1539,896
1540,2333
1541,2866
1542,3947
1543,2599
1544,612
1545,514
1546,2664
1547,2812
1548,2516
1549,476
1550,398
1551,3276
1552,1254
1553,2082
1554,1797
1555,3634
1556,755
1557,624
1558,3293
1559,604
1560,1695
1561,3975
1562,830
1563,2055
1564,1038
1565,3772
1566,584
1567,1929
1568,916
1569,3005
1570,232
1571,1865
1572,1465
1573,1326
1574,2586
1575,2524
1576,2835
1577,2555
1578,2748
1579,2362
1580,713
1581,2273
1582,3527
1583,2408
1584,1356
1585,1623
1586,778
1587,1130
1588,16
1589,3512
1590,147
1591,2901
1592,1820
1593,3518
1594,2081
1595,2209
1596,3672
1597,3277
1598,3049
1599,3917
1600,1014
1601,3877
1602,741
1603,978
1604,4007
1605,3660
1606,3838
1607,3391
1608,208
1609,1261
1610,3897
1611,2185
1612,1958
1613,3891
1614,3217
1615,1176
1616,714
1617,1774
1618,747
1619,3001
1620,3009
1621,2036
1622,3330
1623,2929
1624,768
1625,3506
1626,963
1627,3208
1628,1754
1629,333
1630,726
1631,1141
1632,2247
1633,1464
1634,2986
1635,2773
1636,3582
1637,1463
1638,1673
1639,1596
1640,1274
1641,1145
1642,3064
1643,2251
1644,3567
1645,1472
1646,1608
1647,723
1648,701
1649,2648
1650,2248
1651,833
1652,89
1653,893
1654,967
1655,2098
1656,3171
1657,12
1658,2447
1659,157
1660,958
1661,2416
1662,2833
1663,2905
1664,2891
1665,2796
1666,2677
1667,1518
1668,1727
1669,139
1670,1129
1671,3904
1672,2105
1673,174
1674,2347
1675,1688
1676,527
1677,2441
1678,2756
1679,3958
1680,3743
1681,1787
1682,3084
1683,2111
1684,2468
1685,3343
1686,1416
1687,3283
1688,1142
1689,2256
1690,376
1691,1137
1692,4016
1693,3366
1694,1871
1695,887
1696,2287
1697,1328
1698,1402
1699,2406
1700,1798
1701,73
1702,3057
1703,2557
1704,1649
1705,2719
1706,3478
1707,1567
1708,1178
1709,3511
1710,1967
1711,3482
1712,68
1713,2044
1714,2489
1715,2224
1716,2944
1717,427
1718,344
1719,2357
1720,1696
1721,216
1722,31
1723,3455
1724,2316
1725,1942
1726,3112
1727,503
1728,3900
1729,3490
1730,1943
1731,1698
1732,138
1733,906
1734,2212
1735,38
1736,550
1737,3327
1738,1600
1739,2521
1740,4008
1741,1155
1742,449
1743,2500
1744,3374
1745,2369
1746,1532
1747,2434
1748,2688
1749,1044
1750,1339
1751,997
1752,3461
1753,3902
1754,1488
1755,3872
1756,2508
1757,3789
1758,1309
1759,258
1760,3191
1761,2409
1762,194
1763,869
1764,275
1765,1717
1766,2903
1767,3922
1768,1896
1769,1782
1770,2576
1771,3451
1772,2610
1773,3662
1774,2805
1775,172
1776,594
1777,2104
1778,3376
1779,3077
1780,1519
1781,142
1782,3996
1783,2383
1784,671
1785,698
1786,773
1787,140
1788,2329
1789,2504
1790,3245
1791,197
1792,3256
1793,3242
1794,3093
1795,3417
1796,2694
1797,1988
1798,1806
1799,3504
1800,3774
1801,2213
1802,2031
1803,2914
1804,4021
1805,3233
1806,1569
1807,2340
1808,44
1809,1301
1810,2466
1811,3864
1812,2727
1813,995
1814,2502
1815,3002
1816,1753
1817,2964
1818,1641
1819,1167
1820,3111
1821,2168
1822,807
1823,3145
1824,93
1825,2427
1826,1580
1827,1447
1828,3936
1829,3608
1830,1323
1831,2197
1832,2035
1833,3526
1834,411
1835,1366
1836,3521
1837,1071
1838,81
1839,1187
1840,2541
1841,2045
1842,913
1843,1506
1844,2779
1845,234
1846,1084
1847,3081
1848,1784
1849,3640
1850,1678
1851,2890
1852,3961
1853,3237
1854,2918
1855,677
1856,2789
1857,360
1858,2742
1859,2305
1860,54
1861,3007
1862,2187
1863,757
1864,3581
1865,1349
1866,496
1867,29
1868,2712
1869,1516
1870,2654
1871,2961
1872,1893
1873,2482
1874,835
1875,1270
1876,2124
1877,1337
1878,3297
1879,880
1880,3229
1881,1185
1882,1157
1883,48
1884,3924
1885,3895
1886,196
1887,564
1888,2870
1889,1630
1890,132
1891,3550
1892,3644
1893,2456
1894,721
1895,818
1896,676
1897,2716
1898,263
1899,1507
1900,150
1901,1601
1902,2529
1903,3067
1904,1062
1905,961
1906,2321
1907,3355
1908,2645
1909,1986
1910,2717
1911,3982
1912,2266
1913,3770
1914,3303
1915,2358
1916,1523
1917,3747
1918,3123
1919,992
1920,1315
1921,3344
1922,789
1923,1801
1924,3183
1925,968
1926,666
1927,3686
1928,1776
1929,1117
1930,1965
1931,3734
1932,3697
1933,2976
1934,3356
1935,903
1936,3540
1937,1140
1938,2732
1939,290
1940,2056
1941,262
1942,3200
1943,36
1944,1718
1945,3973
1946,3860
1947,2754
1948,1830
1949,1249
1950,3941
1951,2052
1952,2360
1953,405
1954,2752
1955,804
1956,223
1957,1442
1958,3536
1959,722
1960,2401
1961,25
1962,3302
1963,2165
1964,2800
1965,1135
1966,1626
1967,3141
1968,3658
1969,3676
1970,2517
1971,1691
1972,3367
1973,1868
1974,3646
1975,181
1976,2608
1977,3818
1978,2957
1979,1515
1980,3998
1981,3499
1982,2589
1983,1399
1984,823
1985,3185
1986,2043
1987,1571
1988,1034
1989,2573
1990,3995
1991,3951
1992,512
1993,2917
1994,4019
1995,98
1996,1676
1997,3819
1998,2655
1999,622
2000,111
2001,1921
2002,1527
2003,1458
2004,3197
2005,2277
2006,980
2007,3443
2008,3094
2009,799
2010,110
2011,123
