name,mpg,disp
car185,24,140
car186,36.1,98
car187,18.1,302
car188,15,429
car189,14,351
car190,14,351
car191,14,302
car192,16,302
car193,14.5,351
car194,13,302
car195,14,302
car196,18.5,250
car197,18,250
car198,20.2,200
car199,13,351
car200,14,351
car201,17.6,302
car202,21,200
car203,18,250
car204,15,250
car205,24,200
car206,18,250
car207,27,140
car208,13,302
car209,25.5,140
car210,19,122
car211,26,122
car212,23,140
car213,18,171
car214,26.5,140
car215,22,122
car216,21,122
car217,28,120
car218,16,351
car219,17,302
car220,19,250
car221,32.4,107
car222,36,107
car223,31.5,98
car224,29.5,98
car225,24,120
car226,33,91
car227,38,91
car228,32,91
car229,35.1,81
car230,44.6,91
car231,33,91
car232,36.1,91
car233,33.7,107
car234,34.1,86
car235,18,70
car236,31.3,120
car237,31.6,120
car238,46.6,86
car239,34.1,91
car240,31,91
car241,37,91
car242,32.8,78
car243,21.5,80
car244,23.7,70
car245,19,70
car246,25.4,183
car247,30,146
car248,16.5,168
car249,23,122
car250,21,155
car251,15,302
car252,16.5,351
car253,36,98
car254,11,429
car255,12,429
car256,15,250
car257,20.2,302
car258,20.8,200
car259,19.8,200
car260,36,120
car261,38,262
car262,26.6,350
car263,19.9,260
car264,23.9,260
car265,17,260
car266,12,350
car267,11,350
car268,26.8,173
car269,23.8,151
car270,12,350
car271,28,116
car272,25,116
car273,24,116
car274,26,97
car275,30,79
car276,25,110
car277,23,120
car278,19,120
car279,27.2,141
car280,21,120
car281,28.1,141
car282,16.2,163
car283,25.5,122
car284,39,86
car285,26,91
car286,13,360
car287,22,198
car288,23,198
car289,20,198
car290,18,225
car291,14,318
car292,14,318
car293,15,318
car294,16,318
car295,34.2,105
car296,34.7,105
car297,38,105
car298,34.5,105
car299,27.2,135
car300,30,135
car301,23.2,156
car302,18,318
car303,16,225
car304,14,318
car305,18,225
car306,18,225
car307,22,225
car308,19,225
car309,20.5,225
car310,19,225
car311,13,318
car312,23,140
car313,14,455
car314,14,400
car315,16,400
car316,14,400
car317,19,250
car318,16,400
car319,16,400
car320,31,112
car321,21.5,231
car322,33.5,151
car323,27,151
car324,19.2,231
car325,13,400
car326,24.5,151
car327,18.5,250
car328,26,96
car329,27,101
car330,36,79
car331,25,104
car332,21.6,121
car333,24,121
car334,25,121
car335,26,108
car336,32.3,97
car337,30,97
car338,33.8,97
car339,20,97
car340,32,144
car341,21.1,134
car342,29,97
car343,28,97
car344,32.2,108
car345,32.4,108
car346,31,71
car347,32,71
car348,27,97
car349,26,97
car350,38.1,89
car351,25,113
car352,31,76
car353,24,134
car354,27.5,134
car355,24,113
car356,29.8,134
car357,24,113
car358,25.4,168
car359,20,156
car360,19,156
car361,39.1,79
car362,37.7,89
car363,23,120
car364,35,122
car365,29.8,89
car366,26,97
car367,22,121
car368,26,79
car369,25,90
car370,30.5,97
car371,33,105
car372,27,97
car373,29,90
car374,29.5,97
car375,29,97
car376,43.1,90
car377,36,105
car378,31.5,89
car379,26,97
car380,23,97
car381,19,121
car382,18,121
car383,22,121
car384,20,130
car385,17,163
car386,30.7,145
car387,43.4,90
car388,44,97
car389,29,90
car390,41.5,98
car391,44.3,90
car392,31.9,89
